apoptotic process,GO:0006915
positive regulation of JUN kinase activity,GO:0043507
fructosamine metabolic process,GO:0030389
protein deglycation,GO:0036525
nuclear envelope organization,GO:0006998
nuclear membrane organization,GO:0071763
negative regulation of nucleoside transport,GO:0032243
negative regulation of transport,GO:0051051
positive regulation of release of cytochrome c from mitochondria,GO:0090200
protein insertion into mitochondrial membrane,GO:0051204
G protein-coupled acetylcholine receptor signaling pathway,GO:0007213
postsynaptic density assembly,GO:0097107
axon regeneration,GO:0031103
transition between slow and fast fiber,GO:0014886
L-leucine catabolic process,GO:0006552
nuclear mRNA surveillance,GO:0071028
nuclear polyadenylation-dependent rRNA catabolic process,GO:0071035
regulation of cell-substrate junction organization,GO:0150116
establishment of spindle localization,GO:0051293
positive regulation of intracellular transport,GO:0032388
positive regulation of spindle assembly,GO:1905832
regulation of metaphase plate congression,GO:0090235
asparagine metabolic process,GO:0006528
oxaloacetate metabolic process,GO:0006107
ATP export,GO:1904669
inorganic diphosphate transport,GO:0030505
phosphate ion transmembrane transport,GO:0035435
B-1 B cell homeostasis,GO:0001922
negative regulation of D-glucose import,GO:0046325
electron transport chain,GO:0022900
membrane protein intracellular domain proteolysis,GO:0031293
membrane protein proteolysis,GO:0033619
90S preribosome assembly,GO:0034463
axial mesoderm development,GO:0048318
protein lipidation,GO:0006497
protein palmitoleylation,GO:0045234
positive regulation of B cell differentiation,GO:0045579
regulation of antimicrobial humoral response,GO:0002759
regulation of B cell activation,GO:0050864
regulation of dephosphorylation,GO:0035303
caveola assembly,GO:0070836
negative regulation of dephosphorylation,GO:0035305
regulation of cytokine production,GO:0001817
aldehyde metabolic process,GO:0006081
'de novo' pyrimidine nucleobase biosynthetic process,GO:0006207
cardiac cell development,GO:0055006
cellular response to methionine,GO:0061431
heart valve morphogenesis,GO:0003179
negative regulation of macroautophagy,GO:0016242
positive regulation of myotube differentiation,GO:0010831
"positive regulation of wound healing, spreading of epidermal cells",GO:1903691
regulation of locomotor rhythm,GO:1904059
regulation of lysosome organization,GO:1905671
regulation of membrane permeability,GO:0090559
T-helper 1 cell lineage commitment,GO:0002296
voluntary musculoskeletal movement,GO:0050882
mast cell migration,GO:0097531
negative regulation of Kit signaling pathway,GO:1900235
negative regulation of mast cell activation,GO:0033004
negative regulation of mast cell cytokine production,GO:0032764
negative regulation of mast cell degranulation,GO:0043305
negative regulation of receptor-mediated endocytosis,GO:0048261
negative thymic T cell selection,GO:0045060
negative regulation of macrophage colony-stimulating factor signaling pathway,GO:1902227
negative regulation of microglial cell migration,GO:1904140
negative regulation of ruffle assembly,GO:1900028
positive regulation of B cell receptor signaling pathway,GO:0050861
positive regulation of microglial cell activation,GO:1903980
positive regulation of microglial cell mediated cytotoxicity,GO:1904151
Golgi vesicle budding,GO:0048194
positive regulation of opsonization,GO:1903028
positive regulation of leukocyte migration,GO:0002687
'de novo' actin filament nucleation,GO:0070060
negative regulation of lamellipodium assembly,GO:0010593
prostate gland growth,GO:0060736
cellular detoxification of aldehyde,GO:0110095
retinal metabolic process,GO:0042574
heparan sulfate proteoglycan biosynthetic process,GO:0015012
negative regulation of CREB transcription factor activity,GO:0032792
negative regulation of translational initiation in response to stress,GO:0032057
positive regulation of translational initiation in response to starvation,GO:0071264
regulation of cytoplasmic translational initiation in response to stress,GO:1990611
regulation of translational initiation by eIF2 alpha phosphorylation,GO:0010998
regulation of translational initiation in response to stress,GO:0043558
viral translation,GO:0019081
germ cell migration,GO:0008354
male sex determination,GO:0030238
positive regulation of meiosis I,GO:0060903
regulation of nodal signaling pathway,GO:1900107
Sertoli cell differentiation,GO:0060008
establishment of protein localization to plasma membrane,GO:0061951
glomerular basement membrane development,GO:0032836
slit diaphragm assembly,GO:0036060
acinar cell differentiation,GO:0090425
regulation of aldosterone biosynthetic process,GO:0032347
regulation of membrane depolarization during action potential,GO:0098902
adenosine metabolic process,GO:0046085
bradykinin biosynthetic process,GO:0002936
endothelium development,GO:0003158
glutamate metabolic process,GO:0006536
hypothalamus development,GO:0021854
intracellular nitric oxide homeostasis,GO:0033484
positive regulation of pigment cell differentiation,GO:0050942
secretion of lysosomal enzymes,GO:0033299
fatty acid oxidation,GO:0019395
generation of precursor metabolites and energy,GO:0006091
very long-chain fatty acid beta-oxidation,GO:0140493
cerebrospinal fluid secretion,GO:0033326
neural plate anterior/posterior regionalization,GO:0021999
epithelial tube formation,GO:0072175
positive regulation of cell-cell adhesion mediated by integrin,GO:0033634
actin filament fragmentation,GO:0030043
positive regulation of actin filament depolymerization,GO:0030836
axon target recognition,GO:0007412
apelin receptor signaling pathway,GO:0060183
negative regulation of blood pressure,GO:0045776
negative regulation of fibroblast growth factor receptor signaling pathway,GO:0040037
negative regulation of vasoconstriction,GO:0045906
positive regulation of corticotropin secretion,GO:0051461
positive regulation of corticotropin-releasing hormone secretion,GO:0051466
positive regulation of G protein-coupled receptor internalization,GO:1904022
positive regulation of heat generation,GO:0031652
cellular response to light stimulus,GO:0071482
retina morphogenesis in camera-type eye,GO:0060042
positive regulation of toll-like receptor 3 signaling pathway,GO:0034141
cellular response to alkaline pH,GO:0071469
prostaglandin catabolic process,GO:1905344
ADP biosynthetic process,GO:0006172
inflammatory response to wounding,GO:0090594
positive regulation of macrophage derived foam cell differentiation,GO:0010744
actomyosin contractile ring assembly,GO:0000915
extracellular exosome biogenesis,GO:0097734
chaperone-mediated autophagy,GO:0061684
negative regulation of protein binding,GO:0032091
negative regulation of smooth muscle cell apoptotic process,GO:0034392
positive regulation of chaperone-mediated protein complex assembly,GO:0090035
positive regulation of smooth muscle cell apoptotic process,GO:0034393
positive regulation of ubiquitin-protein transferase activity,GO:0051443
regulation of glucocorticoid metabolic process,GO:0031943
positive regulation of protein deubiquitination,GO:1903003
ceramide transport,GO:0035627
COPII-coated vesicle budding,GO:0090114
endoplasmic reticulum-plasma membrane tethering,GO:0061817
phospholipid transport,GO:0015914
protein localization to endoplasmic reticulum,GO:0070972
sterol transport,GO:0015918
protein localization to somatodendritic compartment,GO:0061938
ganglioside biosynthetic process via lactosylceramide,GO:0010706
lactosylceramide biosynthetic process,GO:0001572
sphingolipid biosynthetic process,GO:0030148
(R)-carnitine transmembrane transport,GO:1902270
(R)-carnitine transport,GO:1900749
carnitine transmembrane transport,GO:1902603
carnitine transport,GO:0015879
quaternary ammonium group transport,GO:0015697
hepatocyte differentiation,GO:0070365
positive regulation of glucose mediated signaling pathway,GO:1902661
single stranded viral RNA replication via double stranded DNA intermediate,GO:0039692
cGMP-mediated signaling,GO:0019934
negative regulation of synaptic transmission,GO:0050805
tRNA (guanine-N7)-methylation,GO:0106004
tRNA modification,GO:0006400
post-embryonic hindlimb morphogenesis,GO:0035129
reactive gliosis,GO:0150103
synaptic assembly at neuromuscular junction,GO:0051124
water transport,GO:0006833
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process",GO:1903100
antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0019886
myelin assembly,GO:0032288
peptidyl-serine autophosphorylation,GO:0036289
phagosome-lysosome fusion,GO:0090385
phosphatidylinositol 5-phosphate metabolic process,GO:1904562
regulation of reactive oxygen species biosynthetic process,GO:1903426
maternal process involved in female pregnancy,GO:0060135
positive regulation of immune response to tumor cell,GO:0002839
pyroptotic cell death,GO:0141201
calcium export from the mitochondrion,GO:0099093
inner mitochondrial membrane organization,GO:0007007
mitochondrial potassium ion transmembrane transport,GO:0140141
negative regulation of mitochondrial calcium ion concentration,GO:0051562
negative regulation of calcium-mediated signaling,GO:0050849
negative regulation of heart rate,GO:0010459
negative regulation of release of sequestered calcium ion into cytosol,GO:0051280
negative regulation of activation-induced cell death of T cells,GO:0070236
response to osmotic stress,GO:0006970
intrinsic apoptotic signaling pathway in response to hydrogen peroxide,GO:0036481
positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045737
proteasome regulatory particle assembly,GO:0070682
detection of chemical stimulus involved in sensory perception of sour taste,GO:0001581
detection of chemical stimulus involved in sensory perception of taste,GO:0050912
response to water,GO:0009415
positive regulation of lymphocyte proliferation,GO:0050671
sperm DNA condensation,GO:0035092
corpus callosum morphogenesis,GO:0021540
regulation of superoxide dismutase activity,GO:1901668
antifungal innate immune response,GO:0061760
host-mediated regulation of intestinal microbiota composition,GO:0048874
immunoglobulin mediated immune response,GO:0016064
positive regulation of granulocyte macrophage colony-stimulating factor production,GO:0032725
regulation of interleukin-2 production,GO:0032663
regulation of interleukin-6 production,GO:0032675
response to aldosterone,GO:1904044
response to fungus,GO:0009620
response to muramyl dipeptide,GO:0032495
response to peptidoglycan,GO:0032494
phosphatidylcholine catabolic process,GO:0034638
apical protein localization,GO:0045176
cellular pigment accumulation,GO:0043482
establishment of melanosome localization,GO:0032401
eye pigment granule organization,GO:0008057
motor neuron apoptotic process,GO:0097049
negative regulation of sodium ion export across plasma membrane,GO:1903277
positive regulation of motor neuron apoptotic process,GO:2000673
positive regulation of protein binding,GO:0032092
positive regulation of protein geranylgeranylation,GO:2000541
positive regulation of synaptic assembly at neuromuscular junction,GO:0045887
regulation of cardiac muscle cell membrane potential,GO:0086036
positive regulation of cilium movement,GO:0003353
myotube cell development involved in skeletal muscle regeneration,GO:0014906
myotube differentiation involved in skeletal muscle regeneration,GO:0014908
